Program/Agency Name,Project Name,Sub-Project Name,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,Total 10 Year,Ward Number,Ward,Category
311 Toronto,311 TECHNOLOGY SOLUTION STATE OF GOOD REPAIR,EWMS,-66,0,0,0,0,0,0,0,0,0,-66,CW,City Wide,State of Good Repair
311 Toronto,311 TECHNOLOGY SOLUTION STATE OF GOOD REPAIR,Implementing Artificial Intelligent - Pilot,192,308,0,0,0,0,0,0,0,0,500,CW,City Wide,State of Good Repair
311 Toronto,311 TECHNOLOGY SOLUTION STATE OF GOOD REPAIR,SOGR - various,545,100,100,100,100,100,100,100,100,100,1445,CW,City Wide,State of Good Repair
Accountability Offices,Lobbyist Registry System SOGR,Lobbyist Registry System SOGR 2024,0,0,350,350,0,0,0,0,0,0,700,CW,City Wide,State of Good Repair
Accountability Offices,Lobbyist Registry System SOGR,Lobbyist Registry System SOGR 2031,0,0,0,0,0,0,0,0,0,400,400,CW,City Wide,State of Good Repair
Accountability Offices,OLR Investigation Case Management System,TLR Investigation Case Management Sys SOGR,0,0,0,0,250,0,0,0,0,0,250,CW,City Wide,State of Good Repair
Accountability Offices,Ombudsman Case Management System SOGR,Ombudsman Case Management System SOGR,0,0,350,350,0,0,0,0,0,0,700,CW,City Wide,State of Good Repair
Accountability Offices,Ombudsman Case Management System SOGR,Omdudsman Case Management System SOGR 2031,0,0,0,0,0,0,0,0,0,400,400,CW,City Wide,State of Good Repair
Chief Information Security Office,Corporate Planning & Management,Cyber Command Centre,0,0,8777,8777,0,0,0,0,0,0,17554,CW,City Wide,Service Improvement and Enhancement
Chief Information Security Office,Corporate Planning & Management,Cyber Foundation,5990,715,645,645,0,0,0,0,0,0,7995,CW,City Wide,Service Improvement and Enhancement
Chief Information Security Office,Corporate Planning & Management,Digitization Support Services,1395,2125,1453,1163,0,0,0,0,0,0,6136,CW,City Wide,Service Improvement and Enhancement
Chief Information Security Office,Corporate Planning & Management,Forensics,0,0,0,0,0,0,0,0,0,0,0,CW,City Wide,Service Improvement and Enhancement
Chief Information Security Office,Corporate Planning & Management,Infrastructure - Vulnerability Scanning,-920,0,0,0,0,0,0,0,0,0,-920,CW,City Wide,Service Improvement and Enhancement
Chief Information Security Office,Corporate Planning & Management,MSSP,-499,0,0,0,0,0,0,0,0,0,-499,CW,City Wide,Service Improvement and Enhancement
Children's Services,TCS Growing Child Care for Toronto,TCS Growing Child Care for Toronto,500,900,58,0,0,0,0,0,0,0,1458,CW,City Wide,Growth Related
Children's Services,TELCCS - State Of Good Repair,TELCCS - State Of Good Repair,0,1496,1496,1496,1496,1496,1496,1496,1496,1496,13464,CW,City Wide,State of Good Repair
Children's Services,TELCCS - State Of Good Repair,TELCCS - STATE OF GOOD REPAIR 2022,1540,0,0,0,0,0,0,0,0,0,1540,CW,City Wide,State of Good Repair
Children's Services,3393 Keele Street Child Care Centre,3393 Keele Street Child care Centre,0,0,200,600,1000,2000,2000,1160,0,0,6960,6,York Centre,Service Improvement and Enhancement
Children's Services,Alexandra Park Child Care Centre,Alexandra Park Child Care Centre,1000,1000,271,0,0,0,0,0,0,0,2271,10,Spadina-Fort York,Service Improvement and Enhancement
Children's Services,Anishnawbe Miziwe Biik Child Care Centre,Anishnawbe Miziwe Biik Child Care Centre,0,1800,4614,0,0,0,0,0,0,0,6414,13,Toronto Centre,Service Improvement and Enhancement
Children's Services,Bayside Child Care Centre,Bayside Child Care Centre,0,550,0,0,0,0,0,0,0,0,550,10,Spadina-Fort York,Service Improvement and Enhancement
Children's Services,Bridletown Community Centre (Child Care Centre 6),Bridletown Community Centre (Child Care Centre 6),0,350,700,1400,1450,0,0,0,0,0,3900,22,Scarborough-Agincourt,Service Improvement and Enhancement
Children's Services,David and Mary Thomson (Child Care Centre 7),David and Mary Thomson (Child Care Centre 7),0,1300,1250,1250,1150,0,0,0,0,0,4950,21,Scarborough Centre,Service Improvement and Enhancement
Children's Services,EarlyON 150 Queens Wharf Road,EarlyON 150 Queen Wharf Road,0,0,200,500,1000,529,0,0,0,0,2229,10,Spadina-Fort York,Service Improvement and Enhancement
Children's Services,Gilder/Gilder Child Care Centre,Gilder/Gilder Satellite Child Care Centre,0,821,0,0,0,0,0,0,0,0,821,21,Scarborough Centre,Service Improvement and Enhancement
Children's Services,Lawrence Heights Community Day Care Centre (#14),Child Care Ctr #14 - Lawrence Heights Community,0,0,200,600,1000,2000,2000,1160,0,0,6960,8,Eglinton-Lawrence,Service Improvement and Enhancement
Children's Services,Mount Dennis Child Care Centre,Mount Dennis Additional Funding 2020,0,0,1830,0,0,0,0,0,0,0,1830,5,York South-Weston,Service Improvement and Enhancement
Children's Services,Mount Dennis Child Care Centre,Mount Dennis Child Care Centre,469,6000,1396,0,0,0,0,0,0,0,7865,5,York South-Weston,Service Improvement and Enhancement
Children's Services,North East Scarborough Recreation Centre,North East Scarborough RC Add'L Funding,0,0,1500,0,0,0,0,0,0,0,1500,25,Scarborough-Rouge Park,Service Improvement and Enhancement
Children's Services,North East Scarborough Recreation Centre,North East Scarborough RC Net Zero,0,0,800,0,0,0,0,0,0,0,800,25,Scarborough-Rouge Park,Service Improvement and Enhancement
Children's Services,North East Scarborough Recreation Centre,North East Scarborough Recreation Centre,1000,2250,1389,0,0,0,0,0,0,0,4639,25,Scarborough-Rouge Park,Service Improvement and Enhancement
Children's Services,St. Barnabas Catholic School,St. Barnabas Catholic School,756,521,0,0,0,0,0,0,0,0,1277,23,Scarborough-North,Service Improvement and Enhancement
Children's Services,St. Bartholomew Catholic School,St Bartholomew Additional Funding 2020,0,0,800,0,0,0,0,0,0,0,800,23,Scarborough-North,Service Improvement and Enhancement
Children's Services,St. Bartholomew Catholic School,St. Bartholomew Catholic School,0,1333,400,0,0,0,0,0,0,0,1733,23,Scarborough-North,Service Improvement and Enhancement
Children's Services,Stanley Public School,Stanley Public School,652,200,0,0,0,0,0,0,0,0,852,7,Humber River-Black Creek,Service Improvement and Enhancement
Children's Services,TCH Needle Firway,TCH Needle Firway,0,2000,2825,0,0,0,0,0,0,0,4825,7,Humber River-Black Creek,Service Improvement and Enhancement
Children's Services,TELCCS - Playground Retrofit,TELCCS - Playground Retrofit 2022,1550,0,0,0,0,0,0,0,0,0,1550,CW,City Wide,State of Good Repair
Children's Services,TELCCS - Playground Retrofit,TELCCS Playground Retrofit,0,1270,300,0,0,0,0,0,0,0,1570,CW,City Wide,State of Good Repair
Children's Services,Wallace Emerson Child Care Centre,Wallace Emerson Child Care Centre,0,1607,4733,1100,0,0,0,0,0,0,7440,9,Davenport,Service Improvement and Enhancement
Children's Services,Western North York Child Care,Western North York Child Care,0,713,2400,1677,0,0,0,0,0,0,4790,7,Humber River-Black Creek,Service Improvement and Enhancement
Children's Services,Willowridge Child Care Centre,Willowridge Child Care Centre,150,1000,345,0,0,0,0,0,0,0,1495,1,Etobicoke North,Service Improvement and Enhancement
Children's Services,Woodbine Child Care Centre,Woodbine Child Care Centre,0,1000,2600,1000,225,0,0,0,0,0,4825,1,Etobicoke North,Service Improvement and Enhancement
City Clerk's Office,City Clerk's Office Health & Safety Remediation,City Clerk`s Health & Safety Remediation-SOGR 2025,0,0,0,100,230,0,0,0,0,0,330,CW,City Wide,Health and Safety
City Clerk's Office,City Clerk's Office Health & Safety Remediation,City Clerk's Health & Safety Remediation-SOGR 2031,0,0,0,0,0,0,0,0,0,150,150,CW,City Wide,Health and Safety
City Clerk's Office,Archives Strategic Plan Implementation SOGR,Archives Equipment Upgrade - SOGR 2022-2025,75,75,75,50,0,0,0,0,0,0,275,CW,City Wide,State of Good Repair
City Clerk's Office,Archives Strategic Plan Implementation SOGR,Archives Equipment Upgrade - SOGR 2027-2030,0,0,0,0,0,75,50,75,50,0,250,CW,City Wide,State of Good Repair
City Clerk's Office,Archives Strategic Plan Implementation SOGR,Image Library Migration to Managed Cloud SAAS,210,415,0,0,0,0,0,0,0,0,625,CW,City Wide,Legislated
City Clerk's Office,Archives Strategic Plan Implementation SOGR,Records Centre Services SOGR (scope change),200,0,0,0,0,0,0,0,0,0,200,CW,City Wide,State of Good Repair
City Clerk's Office,City Clerk's Office Business Systems,City Clerk's Bus. Sys-Legisl. Compliance phase 1,130,0,0,0,0,0,0,0,0,0,130,CW,City Wide,Legislated
City Clerk's Office,City Clerk's Office Business Systems,City Clerk's Bus. Sys-Legisl. Compliance phase 2,270,570,0,0,0,0,0,0,0,0,840,CW,City Wide,Legislated
City Clerk's Office,City Clerk's Office Business Systems,City Clerk`s Business Systems 2023-2024,0,400,650,0,0,0,0,0,0,0,1050,CW,City Wide,Legislated
City Clerk's Office,City Clerk's Office Business Systems,City Clerk's Bus.Sys-Legislative Compliance 2026,0,0,0,0,250,0,0,0,0,0,250,CW,City Wide,Legislated
City Clerk's Office,City Clerk's Office Business Systems,City Clerk's Bus.Sys-Legislative Compliance 2030,0,0,0,0,0,0,0,0,400,500,900,CW,City Wide,Legislated
City Clerk's Office,City Clerk's Office Business Systems,City Clerk's Business Systems 2025-2027,0,0,0,200,350,500,0,0,0,0,1050,CW,City Wide,Legislated
City Clerk's Office,City Clerk's Office Business Systems,City Clerk's Business Systems 2028-2029,0,0,0,0,0,0,325,500,0,0,825,CW,City Wide,Legislated
City Clerk's Office,Council Business Systems,Council Business Systems 2020,435,0,0,0,0,0,0,0,0,0,435,CW,City Wide,Legislated
City Clerk's Office,Council Business Systems,Council Business Systems 2025-2026,0,0,0,200,300,0,0,0,0,0,500,CW,City Wide,Legislated
City Clerk's Office,Council Business Systems,Council Business Systems 2028-2029,0,0,0,0,0,0,250,425,0,0,675,CW,City Wide,Legislated
City Clerk's Office,Council Transition Requirements,Council Transition Requirements 2022,300,0,0,0,0,0,0,0,0,0,300,CW,City Wide,Legislated
City Clerk's Office,Council Transition Requirements,Council Transition Requirements 2025-2026,0,0,0,100,400,0,0,0,0,0,500,CW,City Wide,Legislated
City Clerk's Office,Council Transition Requirements,Council Transition Requirements 2029-2030,0,0,0,0,0,0,0,100,400,0,500,CW,City Wide,Legislated
City Clerk's Office,Infra. to support Council/Committee Meetings,Infra. to sup Council/Committee Mtgs 2029-2030,0,0,0,0,0,0,0,100,500,0,600,CW,City Wide,State of Good Repair
City Clerk's Office,Infra. to support Council/Committee Meetings,Infra. to sup. Council/Committee Mtgs 2022,150,350,0,0,0,0,0,0,0,0,500,CW,City Wide,State of Good Repair
City Clerk's Office,Infra. to support Council/Committee Meetings,Infra. to sup. Council/Committee Mtgs -2025-2026,0,0,0,100,500,0,0,0,0,0,600,CW,City Wide,State of Good Repair
City Clerk's Office,IP Workflow Management System SOGR,Information Workflow Mgt. System SOGR 2023-2024,0,210,565,0,0,0,0,0,0,0,775,CW,City Wide,State of Good Repair
