Program/Agency Name,Project Name,Sub-Project Name,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,Total 10 Year,Ward Number,Ward,Category
311 Toronto,311 TECHNOLOGY SOLUTION STATE OF GOOD REPAIR,EWMS,186,0,0,0,0,0,0,0,0,0,186,CW,City Wide,State of Good Repair
311 Toronto,311 TECHNOLOGY SOLUTION STATE OF GOOD REPAIR,Readiness Assessment(Various),0,0,0,0,0,0,0,0,0,0,0,CW,City Wide,Service Improvement and Enhancement
311 Toronto,311 TECHNOLOGY SOLUTION STATE OF GOOD REPAIR,UCCE (Telephony) Maintenence and Upgrade,-1623,0,0,0,0,0,0,0,0,0,-1623,CW,City Wide,State of Good Repair
311 Toronto,311 TECHNOLOGY SOLUTION STATE OF GOOD REPAIR,Verint Upgrade,-380,0,0,0,0,0,0,0,0,0,-380,CW,City Wide,State of Good Repair
311 Toronto,311 TECHNOLOGY SOLUTION STATE OF GOOD REPAIR,Digital Migration / Online Srv,0,0,0,0,0,0,0,0,0,0,0,CW,City Wide,Service Improvement and Enhancement
311 Toronto,311 TECHNOLOGY SOLUTION STATE OF GOOD REPAIR,EWMS,80,0,0,0,0,0,0,0,0,0,80,CW,City Wide,State of Good Repair
311 Toronto,311 TECHNOLOGY SOLUTION STATE OF GOOD REPAIR,Implementing Artificial Intelligent - Pilot,250,500,0,0,0,0,0,0,0,0,750,CW,City Wide,State of Good Repair
311 Toronto,311 TECHNOLOGY SOLUTION STATE OF GOOD REPAIR,SOGR - Various,50,100,100,100,100,100,100,100,100,100,950,CW,City Wide,State of Good Repair
Accountability Offices,Lobbyist Registry System SOGR,Lobbyist Registry System SOGR,0,0,0,350,350,0,0,0,0,0,700,CW,City Wide,State of Good Repair
Accountability Offices,OLR Investigation Case Management System,TLR Investigation Case Management Sys SOGR,0,0,0,0,0,250,0,0,0,0,250,CW,City Wide,State of Good Repair
Accountability Offices,Ombudsman Case Management System SOGR,Ombudsman Case Management System SOGR,0,0,0,350,350,0,0,0,0,0,700,CW,City Wide,State of Good Repair
Chief Information Security Office,Corporate Planning & Management,Cyber Command Centre,0,8777,8777,0,0,0,0,0,0,0,17554,CW,City Wide,Service Improvement and Enhancement
Chief Information Security Office,Corporate Planning & Management,Digitization Support Services,585,0,0,0,0,0,0,0,0,0,585,CW,City Wide,Service Improvement and Enhancement
Chief Information Security Office,Corporate Planning & Management,Forensics,117,117,117,0,0,0,0,0,0,0,351,CW,City Wide,Service Improvement and Enhancement
Chief Information Security Office,Corporate Planning & Management,Infrastructure - Vulnerability Scanning,117,0,0,0,0,0,0,0,0,0,117,CW,City Wide,Service Improvement and Enhancement
Chief Information Security Office,Corporate Planning & Management,MSSP,3202,351,468,0,0,0,0,0,0,0,4021,CW,City Wide,Service Improvement and Enhancement
Children's Services,TCS Growing Child Care for Toronto,TCS Growing Child Care for Toronto,1300,1724,0,0,0,0,0,0,0,0,3024,CW,City Wide,Growth Related
Children's Services,TELCCS - State Of Good Repair,TELCCS - State Of Good Repair,0,1540,1496,1496,1496,1496,1496,1496,1496,1496,13508,CW,City Wide,State of Good Repair
Children's Services,TELCCS - State Of Good Repair,TELCCS SOGR 2020,-1226,0,0,0,0,0,0,0,0,0,-1226,CW,City Wide,State of Good Repair
Children's Services,TELCCS - State Of Good Repair,TELCCS SOGR 2021,1367,0,0,0,0,0,0,0,0,0,1367,CW,City Wide,State of Good Repair
Children's Services,Anishawabe Child Care Centre,Anishawabe Child Care Centre,550,4809,1950,0,0,0,0,0,0,0,7309,13,Toronto Centre,Service Improvement and Enhancement
Children's Services,Bayside Child Care Centre,Bayside Child Care Centre,100,550,0,0,0,0,0,0,0,0,650,10,Spadina-Fort York,Service Improvement and Enhancement
Children's Services,Bridletown Community Centre (Child Care Centre 6),Bridletown Community Centre (Child Care Centre 6),0,750,1250,1250,300,0,0,0,0,0,3550,22,Scarborough-Agincourt,Service Improvement and Enhancement
Children's Services,David and Mary Thomson (Child Care Centre 7),David and Mary Thomson (Child Care Centre 7),0,750,1250,1250,1150,250,0,0,0,0,4650,21,Scarborough Centre,Service Improvement and Enhancement
Children's Services,Gilder/Gilder Child Care Centre,Gilder/Gilder Satellite Child Care Centre,500,1500,0,0,0,0,0,0,0,0,2000,21,Scarborough Centre,Service Improvement and Enhancement
Children's Services,Mount Dennis Child Care Centre,Mount Dennis Child Care Centre,727,8990,205,0,0,0,0,0,0,0,9922,5,York South-Weston,Service Improvement and Enhancement
Children's Services,North East Scarborough Recreation Centre,North East Scarborough Recreation Centre,300,2000,1500,838,0,0,0,0,0,0,4638,25,Scarborough-Rouge Park,Service Improvement and Enhancement
Children's Services,St. Barnabas Catholic School,St. Barnabas Catholic School,250,2073,0,0,0,0,0,0,0,0,2323,23,Scarborough-North,Service Improvement and Enhancement
Children's Services,St. Bartholomew Catholic School,St. Bartholomew Catholic School,0,2133,0,0,0,0,0,0,0,0,2133,23,Scarborough-North,Service Improvement and Enhancement
Children's Services,St. John The Evangelist Catholic School,St. John The Evangelist Catholic School,1867,0,0,0,0,0,0,0,0,0,1867,7,Humber River-Black Creek,Service Improvement and Enhancement
Children's Services,St. Roch Catholic School,St. Roch Catholic School,356,2000,0,0,0,0,0,0,0,0,2356,7,Humber River-Black Creek,Service Improvement and Enhancement
Children's Services,Stanley Public School,Stanley Public School,800,1897,0,0,0,0,0,0,0,0,2697,7,Humber River-Black Creek,Service Improvement and Enhancement
Children's Services,TCH Needle Firway,TCH Needle Firway,0,3000,725,0,0,0,0,0,0,0,3725,7,Humber River-Black Creek,Service Improvement and Enhancement
Children's Services,Wallace Emerson Child Care Centre,Wallace Emerson Child Care Centre,500,1250,1250,1441,300,0,0,0,0,0,4741,9,Davenport,Service Improvement and Enhancement
